INFO 2024-09-29 13:48:32,526 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-29 13:48:32,867 autoreload File D:\python\Lib\email\utils.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,868 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1726739707.8041444
DEBUG 2024-09-29 13:48:32,868 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1726739703.3074453
DEBUG 2024-09-29 13:48:32,868 autoreload File D:\python\DLLs\_socket.pyd first seen with mtime 1696231628.0
DEBUG 2024-09-29 13:48:32,869 autoreload File D:\python\Lib\multiprocessing\__init__.py first seen with mtime 1608552418.0
DEBUG 2024-09-29 13:48:32,869 autoreload File D:\python\Lib\html\__init__.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,869 autoreload File D:\python\Lib\_markupbase.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,869 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1726739703.5725534
DEBUG 2024-09-29 13:48:32,870 autoreload File D:\python\Lib\email\feedparser.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,870 autoreload File D:\python\Lib\contextvars.py first seen with mtime 1608552418.0
DEBUG 2024-09-29 13:48:32,870 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1726739703.3044438
DEBUG 2024-09-29 13:48:32,870 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1726739703.5715535
DEBUG 2024-09-29 13:48:32,871 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1726739708.0271084
DEBUG 2024-09-29 13:48:32,871 autoreload File D:\python\DLLs\_wmi.pyd first seen with mtime 1696231628.0
DEBUG 2024-09-29 13:48:32,871 autoreload File D:\python\Lib\locale.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,871 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\middleware\cache.py first seen with mtime 1726739707.907601
DEBUG 2024-09-29 13:48:32,871 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1726739705.1187544
DEBUG 2024-09-29 13:48:32,872 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1726739679.434328
DEBUG 2024-09-29 13:48:32,872 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1726739707.6792262
DEBUG 2024-09-29 13:48:32,872 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\forms\renderers.py first seen with mtime 1726739707.8081453
DEBUG 2024-09-29 13:48:32,872 autoreload File D:\python\Lib\multiprocessing\reduction.py first seen with mtime 1608552418.0
DEBUG 2024-09-29 13:48:32,873 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\paginator.py first seen with mtime 1726739707.6282136
DEBUG 2024-09-29 13:48:32,873 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1726739705.2847352
DEBUG 2024-09-29 13:48:32,873 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1726739705.8052998
DEBUG 2024-09-29 13:48:32,873 autoreload File D:\python\Lib\encodings\utf_8.py first seen with mtime 1608552418.0
DEBUG 2024-09-29 13:48:32,874 autoreload File D:\python\Lib\email\_encoded_words.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,874 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1726739708.0161893
DEBUG 2024-09-29 13:48:32,874 autoreload File D:\python\Lib\asyncio\tasks.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,874 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1726739679.4323282
DEBUG 2024-09-29 13:48:32,875 autoreload File D:\python\Lib\_compat_pickle.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,875 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1726739708.0081842
DEBUG 2024-09-29 13:48:32,875 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1726739707.9136026
DEBUG 2024-09-29 13:48:32,876 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1726739707.9156034
DEBUG 2024-09-29 13:48:32,876 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1726739707.736169
DEBUG 2024-09-29 13:48:32,876 autoreload File D:\python\Lib\copyreg.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,877 autoreload File D:\python\Lib\encodings\__init__.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,877 autoreload File D:\python\Lib\weakref.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,877 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1726739707.6702213
DEBUG 2024-09-29 13:48:32,877 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\text.py first seen with mtime 1726739708.0181897
DEBUG 2024-09-29 13:48:32,878 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\http\cookie.py first seen with mtime 1726739707.9026003
DEBUG 2024-09-29 13:48:32,878 autoreload File D:\python\Lib\asyncio\streams.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,878 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\checks\database.py first seen with mtime 1726739707.6382165
DEBUG 2024-09-29 13:48:32,879 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1726739707.7132368
DEBUG 2024-09-29 13:48:32,889 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1726739707.7951388
DEBUG 2024-09-29 13:48:32,890 autoreload File D:\python\Lib\email\mime\nonmultipart.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,890 autoreload File D:\python\Lib\email\contentmanager.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,890 autoreload File D:\python\Lib\asyncio\events.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,890 autoreload File D:\python\Lib\pickle.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,890 autoreload File D:\python\Lib\wsgiref\__init__.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,891 autoreload File D:\python\Lib\decimal.py first seen with mtime 1608552418.0
DEBUG 2024-09-29 13:48:32,891 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1726739707.6202114
DEBUG 2024-09-29 13:48:32,891 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\http\__init__.py first seen with mtime 1726739707.9026003
DEBUG 2024-09-29 13:48:32,891 autoreload File D:\python\Lib\contextlib.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,892 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\signing.py first seen with mtime 1726739707.6292138
DEBUG 2024-09-29 13:48:32,892 autoreload File D:\python\Lib\threading.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,892 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1726739707.7961395
DEBUG 2024-09-29 13:48:32,892 autoreload File D:\python\Lib\pkgutil.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,892 autoreload File D:\python\Lib\zoneinfo\_common.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,893 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1726739708.059197
DEBUG 2024-09-29 13:48:32,893 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1726739708.0081842
DEBUG 2024-09-29 13:48:32,893 autoreload File D:\ITSTEP\django\dz\dz\manage.py first seen with mtime 1727595973.3161259
DEBUG 2024-09-29 13:48:32,893 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\base.py first seen with mtime 1726739707.784136
DEBUG 2024-09-29 13:48:32,894 autoreload File D:\python\Lib\email\_parseaddr.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,894 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1726739707.771227
DEBUG 2024-09-29 13:48:32,894 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\utils.py first seen with mtime 1726739707.7911377
DEBUG 2024-09-29 13:48:32,894 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\http.py first seen with mtime 1726739708.013186
DEBUG 2024-09-29 13:48:32,894 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1726739705.2837443
DEBUG 2024-09-29 13:48:32,895 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1726739707.6992302
DEBUG 2024-09-29 13:48:32,895 autoreload File D:\python\Lib\platform.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,895 autoreload File D:\python\Lib\tokenize.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,895 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\constants.py first seen with mtime 1726739707.7851367
DEBUG 2024-09-29 13:48:32,896 autoreload File D:\python\Lib\hashlib.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,896 autoreload File D:\python\Lib\socketserver.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,896 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\version.py first seen with mtime 1726739708.0221076
DEBUG 2024-09-29 13:48:32,896 autoreload File D:\python\Lib\_compression.py first seen with mtime 1696231558.0
